Category,Problem,Expected,Solver,Classification
Integrals,∫_0^1 x^2 dx,1/3,1/3 (≈0.3333),Correct
Integrals,∫_0^pi sin(x) dx,2,2,Correct
Integrals,∫_-1^1 1/x dx,divergent — must refuse,Improper integral (discontinuous on the interval) — not supported,Honest Refusal
Integrals,∫_0^2 (x^3 - x) dx,2,2,Correct
Integrals,∫_1^e 1/x dx,1,1,Correct
Integrals,∫_1^0 x^2 dx (swapped bounds),-1/3,-1/3 (≈-0.3333),Correct
Integrals,∫_0^1 (x^2 + e^x) dx,e - 2/3,e - 2/3 (≈2.0516),Correct
Integrals,x^2,x^3/3 + C,(1/3)·x^3 + C,Correct
Integrals,sin(x),-cos(x) + C,-cos(x) + C,Correct
Integrals,1/x,ln|x| + C,ln|x| + C,Correct
Integrals,e^x,e^x + C,exp(x) + C,Equivalent
Integrals,sec(x)^2,tan(x) + C,tan(x) + C,Correct
Integrals,x*cos(x),x·sin(x) + cos(x) + C,cos(x) + x·sin(x) + C (full u/dv walkthrough),Correct
Integrals,x^3*sin(x),-x^3·cos(x) + 3x^2·sin(x) + 6x·cos(x) - 6sin(x) + C,same (three by-parts rounds shown),Correct
Integrals,e^x*sin(x),e^x(sin(x) - cos(x))/2 + C,(1/2)·exp(x)·(-cos(x)+sin(x)) + C (cyclic resolution shown),Correct
Integrals,ln(x),x·ln(x) - x + C,x·(ln|x| - 1) + C,Correct
Integrals,arctan(x),x·arctan(x) - ln(1+x^2)/2 + C,x·arctan(x) - (1/2)·ln(x^2+1) + C,Correct
Integrals,x*e^x,(x-1)·e^x + C,exp(x)·(x-1) + C,Correct
Integrals,x^2*ln(x),x^3/3·ln(x) - x^3/9 + C,(1/3)·x^3·(ln|x| - 1/3) + C,Correct
Derivatives,x^3,3x^2,3x^2,Correct
Derivatives,sin(x)*cos(x),cos(2x),cos(x)^2 - sin(x)^2,Equivalent
Derivatives,ln(x)/x,(1 - ln(x))/x^2,1/x^2 - log(x)/x^2,Equivalent
Derivatives,e^(2x),2e^(2x),2exp(2x),Correct
Derivatives,sqrt(x),1/(2√x),1/(2x^(1/2)),Correct
