
Category,Problem,Expected,Solver,Classification
Derivatives,sin(x^2),2x*cos(x^2),2x*cos(x^2),Correct
Derivatives,x^3 + 5x - 7,3x^2 + 5,3x^2 + 5,Correct
Derivatives,ln(x),1/x,1/x,Correct
Derivatives,e^(x^2),2x*exp(x^2),2x*exp(x^2),Correct
Derivatives,tan(x),sec^2(x),1/(cos(x)^2),Correct
Derivatives,(x^2+1)/x,1-1/x^2,1 - 1/x^2,Correct
Derivatives,sqrt(x),1/(2*sqrt(x)),1/(2*x^(1/2)),Correct
Derivatives,arctan(x),1/(x^2+1),0 or unresolved,Incorrect
Derivatives,x^(3/2),(3/2)*x^(1/2),3/2*x^(1/2),Correct
Integrals,∫ x^2 dx,(1/3)x^3 + C,1/3*x^3 + C,Correct
Integrals,∫ sin(x) dx,-cos(x) + C,-cos(x) + C,Correct
Integrals,∫ cos(x) dx,sin(x) + C,sin(x) + C,Correct
Integrals,∫ 1/x dx,ln|x| + C,log(x) + C,Partially Correct
Integrals,∫ e^(2x) dx,(1/2) e^(2x) + C,1/2*exp(2x) + C,Correct
Integrals,∫ 1/(x^2+1) dx,arctan(x) + C,arctan(x) + C,Correct
Integrals,∫ 2x/(x^2+4) dx,ln(x^2+4) + C,log(x^2+4) + C,Correct
Integrals,definite ∫_0^1 x dx,0.5,Misinterpreted; output nonsense,Incorrect
Limits,lim x→0 sin(x)/x,1,1,Correct
Limits,lim x→0 (1 - cos(x))/x^2,0.5,0.5,Correct
Limits,lim x→0 (sin(x)-x)/x^3,-1/6,≈ -0.1667,Correct
Limits,lim x→1 (x^2 -1)/(x-1),2,2,Correct
Limits,lim x→∞ (3x^2+2)/(x^2-5),3,3,Correct
Limits,lim x→0 (e^x -1)/x,1,1,Correct
Limits,lim x→0 ln(1+x)/x,1,1,Correct
Limits,lim x→π sin(x)/(x-π),-1,-1,Correct
Limits,lim x→2 (x^2 +1)/(x-2),DNE (vertical asymptote),Does not exist,Correct
Limits,lim x→0 abs(x)/x,Does not exist,0,Incorrect
Limits,lim x→0 (x-2)/abs(x-2),Does not exist,-1,Incorrect
Limits,lim x→2 (x^2-4)/(x-2),4,4,Correct
Limits,lim x→2 (x^3-8)/(x-2),12,12,Correct
Limits,lim x→0 (tan(x) - x)/x^3,1/3,≈0.3333,Correct
Limits,lim x→0 (1 - cos(2x))/x^2,2,2,Correct
Limits,lim x→0 x*sin(1/x),0,0,Correct
Limits,lim x→0 sin(1/x),Does not exist,Does not exist,Correct
Algebra,2x + 5 = 11,x=3,x=3,Correct
Algebra,x^2 - 5x + 6 = 0,"x=2,3",x=2 or 3,Correct
Algebra,x^2 + 4x + 5 = 0,x=-2±i,x=-2±i,Correct
Algebra,x^2 + 2x + 2 = 0,x=-1±i,x=-1±i,Correct
Algebra,x^3 - 27 = 0,"x=3, complex",x=3 and two complex roots,Correct
Algebra,x^3 + 27 = 0,x=-3 and complex,x=-3 and complex roots,Correct
Algebra,x^3 - 8 = 0,x=2 and complex,x=2 and complex roots,Correct
Algebra,(x+2)(x-3),x^2 - x - 6,x^2 - x - 6,Correct
Algebra,sqrt(50),5√2,≈7.0711,Partially Correct
Algebra,(2x^2 - 8)/(4x),(1/2)x - 2/x,1/2 x - 2/x,Correct
Algebra,3*(2-5)^2,27,27,Correct
Algebra,abs(-7),7,7,Correct
Algebra,y - 3 = 2x (solve for y),y=2x+3,y=2x+3,Correct
Algebra,(5 + 3) * 4 - 2^3,24,24,Correct
Algebra,((3+2)*4)/(2-3),-20,-20,Correct
Algebra,2^3 * 3^2,72,72,Correct
Algebra,-5^2,-25,-25,Correct
Algebra,(-5)^2,25,25,Correct
Algebra,2x+3y=6; x-y=4 (system),"x=2.8,y=?",Returned 6,Incorrect
Algebra,x^2 - 4x + 3 > 0,x<1 or x>3,Returned inequality unsolved,Incorrect
Algebra,factor x^2 - 9,(x-3)(x+3),No factorization,Incorrect
Trigonometry,sin(pi/4),√2/2,0.7071,Correct
Trigonometry,cos(pi/6),√3/2,0.8660,Correct
